name,generic_name,strength,form,category,manufacturer,dosage_instructions,side_effects,contraindications,interactions,therapeutic_class,availability,price,min_dose_mg,max_dose_mg,pediatric_dose_mg_kg,geriatric_dose_multiplier,kidney_impairment_multiplier,liver_impairment_multiplier,pregnancy_category,breastfeeding_safe
Losartan,Losartan,50mg,tablet,Antihypertensive,Generic,"Take 1 tablet daily for blood pressure control","Dizziness, fatigue, cough, headache","Pregnancy, severe kidney disease, allergy to medication","Furosemide, Hydrochlorothiazide, Metoprolol",Antihypertensive,available,10.99,25.00,100.00,1.25,0.80,0.65,0.85,D,false
Valsartan,Valsartan,80mg,tablet,Antihypertensive,Generic,"Take 1 tablet daily in the morning for hypertension","Swelling in ankles, headache, dizziness","Severe heart failure, pregnancy, allergy","Furosemide, Hydrochlorothiazide, Metoprolol",Antihypertensive,available,11.99,40.00,160.00,2.00,0.85,0.70,0.80,D,false
Gliclazide,Gliclazide,60mg,tablet,Antidiabetic,Generic,"Take 1 tablet 30 minutes before meals for diabetes","Low blood sugar, weight gain, stomach upset","Severe kidney disease, pregnancy, diabetic ketoacidosis","Metoprolol, Propranolol, Furosemide",Antidiabetic,available,9.99,30.00,120.00,1.50,0.85,0.65,0.75,C,false
Sitagliptin,Sitagliptin,50mg,tablet,Antidiabetic,Generic,"Take 1 tablet daily for blood sugar control","Nausea, headache, dizziness, fatigue","Severe kidney disease, pregnancy, allergy","Metformin, Glipizide, Insulin",Antidiabetic,available,22.99,25.00,100.00,1.25,0.80,0.60,0.70,B,false
Naproxen,Naproxen,500mg,tablet,Analgesic,Generic,"Take 1 tablet every 8 hours for pain relief","Stomach irritation, headache, dizziness","Stomach ulcers, kidney disease, allergy","Warfarin, Aspirin, Ibuprofen",Analgesic,available,7.99,250.00,1000.00,12.50,0.80,0.85,0.90,C,true
Diclofenac,Diclofenac,50mg,tablet,Analgesic,Generic,"Take 1 tablet every 6-8 hours as needed","Stomach upset, heartburn, dizziness","Stomach ulcers, bleeding disorders, allergy to medication","Warfarin, Aspirin, Ibuprofen",Analgesic,available,9.99,25.00,75.00,1.25,0.85,0.80,0.75,C,true
Escitalopram,Escitalopram,10mg,tablet,Antidepressant,Generic,"Take 1 tablet daily as prescribed","Nausea, headache, increased sweating","Pregnancy, allergy, use of MAO inhibitors","Warfarin, Aspirin, Ibuprofen",Antidepressant,available,14.99,5.00,20.00,0.25,0.80,0.85,0.90,C,false
Venlafaxine,Venlafaxine,75mg,tablet,Antidepressant,Generic,"Take 1 tablet daily for depression and anxiety","Nausea, insomnia, increased blood pressure","Pregnancy, allergy to medication, use of MAO inhibitors","Warfarin, Aspirin, Ibuprofen",Antidepressant,available,15.99,37.50,225.00,1.88,0.80,0.75,0.80,C,false
Diazepam,Diazepam,5mg,tablet,Antianxiety,Generic,"Take 1 tablet 2-4 times daily for anxiety","Drowsiness, dry mouth, blurred vision","Pregnancy, severe breathing problems, allergy","Alcohol, Lorazepam, Alprazolam",Antianxiety,available,6.99,2.00,20.00,0.10,0.75,0.90,0.85,D,false
Clonazepam,Clonazepam,1mg,tablet,Antianxiety,Generic,"Take 1 tablet as needed for anxiety","Drowsiness, confusion, muscle weakness","Severe respiratory depression, pregnancy, allergy","Alcohol, Diazepam, Lorazepam",Antianxiety,available,8.99,0.50,4.00,0.02,0.80,0.85,0.80,D,false
Rivaroxaban,Rivaroxaban,20mg,tablet,Anticoagulant,Generic,"Take 1 tablet daily for blood thinning","Bleeding, bruising, stomach upset","Severe kidney disease, active bleeding, pregnancy","Warfarin, Aspirin, Ibuprofen",Anticoagulant,available,42.99,10.00,20.00,0.50,0.80,0.65,0.70,C,false
Dabigatran,Dabigatran,150mg,capsule,Anticoagulant,Generic,"Take 1 capsule twice daily for blood thinning","Bleeding risk, stomach upset, headache","Severe kidney disease, active bleeding, pregnancy","Warfarin, Aspirin, Ibuprofen",Anticoagulant,available,38.99,75.00,300.00,3.75,0.80,0.60,0.75,C,false
Rosuvastatin,Rosuvastatin,10mg,tablet,Statin,Generic,"Take 1 tablet daily for cholesterol management","Muscle pain, headache, stomach upset","Active liver disease, pregnancy, muscle problems","Grapefruit, Amlodipine, Digoxin",Statin,available,18.99,5.00,40.00,0.25,0.85,0.80,0.70,X,false
Pravastatin,Pravastatin,20mg,tablet,Statin,Generic,"Take 1 tablet daily in the evening for cholesterol control","Muscle weakness, liver enzyme changes","Severe liver disease, pregnancy, allergy","Amiodarone, Verapamil, Diltiazem",Statin,available,14.99,10.00,80.00,0.50,0.80,0.75,0.80,X,false
Esomeprazole,Esomeprazole,20mg,capsule,Proton Pump Inhibitor,Generic,"Take 1 capsule daily before breakfast for acid reflux","Diarrhea, headache, stomach upset","Pregnancy, allergy to proton pump inhibitors","Iron, Calcium, Digoxin",Proton Pump Inhibitor,available,16.99,20.00,40.00,1.00,0.80,0.80,0.70,B,true
Lansoprazole,Lansoprazole,30mg,capsule,Proton Pump Inhibitor,Generic,"Take 1 capsule daily before breakfast for heartburn","Headache, nausea, abdominal pain","Pregnancy, severe liver disease, allergy","Iron, Calcium, Ketoconazole",Proton Pump Inhibitor,available,13.99,15.00,60.00,0.75,0.85,0.75,0.65,B,true
Fexofenadine,Fexofenadine,180mg,tablet,Antihistamine,Generic,"Take 1 tablet daily for allergy symptoms","Headache, fatigue, dry mouth","Pregnancy, severe kidney disease, allergy","Ibuprofen, Aspirin, Acetaminophen",Antihistamine,available,11.99,30.00,180.00,1.50,0.80,0.85,0.90,C,true
Diphenhydramine,Diphenhydramine,25mg,tablet,Antihistamine,Generic,"Take 1 tablet every 4-6 hours as needed for allergies","Drowsiness, dry mouth, blurred vision","Severe breathing problems, pregnancy, allergy","Alcohol, Diazepam, Lorazepam",Antihistamine,available,5.99,12.50,100.00,0.63,0.75,0.80,0.85,B,true
Salmeterol,Salmeterol,25mcg,inhaler,Bronchodilator,Generic,"Inhale 2 puffs 4 times daily for breathing","Headache, throat irritation, cough","Uncontrolled heart problems, allergy","Metoprolol, Atenolol, Propranolol",Bronchodilator,available,28.99,12.50,100.00,0.63,0.80,0.85,0.90,C,false
Formoterol,Formoterol,9mcg,inhaler,Bronchodilator,Generic,"Inhale 2 puffs as needed for breathing difficulty","Nervousness, rapid heart rate, tremor","Allergy to medication, uncontrolled heart rhythm problems","Albuterol, Salmeterol, Metoprolol",Bronchodilator,available,32.99,4.50,36.00,0.45,0.85,0.80,0.85,C,false
Dexamethasone,Dexamethasone,2mg,tablet,Corticosteroid,Generic,"Take as prescribed for inflammatory conditions","Weight gain, fluid retention, mood changes","Active infection, pregnancy, allergy","Warfarin, Aspirin, Metformin",Corticosteroid,available,8.99,1.00,8.00,0.10,0.80,0.80,0.75,C,false
Hydrocortisone,Hydrocortisone,10mg,tablet,Corticosteroid,Generic,"Take 1 tablet daily for inflammation","Insomnia, increased appetite, mood swings","Severe infection, pregnancy, allergy","Warfarin, Aspirin, Ibuprofen",Corticosteroid,available,7.99,5.00,40.00,0.25,0.85,0.85,0.80,C,false
Spironolactone,Spironolactone,25mg,tablet,Diuretic,Generic,"Take 1 tablet daily for fluid retention","Frequent urination, electrolyte changes","Severe kidney disease, very low sodium levels","Furosemide, Hydrochlorothiazide, Lisinopril",Diuretic,available,7.99,12.50,100.00,0.63,0.80,0.65,0.85,C,false
Chlorthalidone,Chlorthalidone,25mg,tablet,Diuretic,Generic,"Take 1 tablet daily in the morning for water retention","Frequent urination, dizziness, muscle cramps","Severe kidney disease, electrolyte imbalance","Furosemide, Hydrochlorothiazide, Lisinopril",Diuretic,available,6.99,12.50,50.00,0.63,0.85,0.70,0.90,B,true
Vitamin B12,Vitamin B12,1000mcg,tablet,Vitamin,Generic,"Take 1 tablet daily for nutritional support","Nausea, stomach upset, allergic reactions","Allergy to vitamin B12","Metformin, Omeprazole, Pantoprazole",Vitamin,available,5.99,100.00,2000.00,2.00,0.80,0.90,0.90,A,true
Zinc Sulfate,Zinc Sulfate,220mg,tablet,Vitamin,Generic,"Take 1 tablet daily for vitamin supplementation","Nausea, stomach upset, metallic taste","Zinc overload, certain blood disorders","Tetracycline, Ciprofloxacin, Omeprazole",Vitamin,available,5.99,110.00,220.00,2.20,0.85,0.85,0.90,A,true
Metronidazole,Metronidazole,500mg,tablet,Antibiotic,Generic,"Take 1 tablet 3 times daily as directed","Nausea, vomiting, headache, dizziness","Allergy to medication, pregnancy","Warfarin, Digoxin, Lithium",Antibiotic,available,17.99,250.00,750.00,12.50,0.80,0.75,0.70,B,false
Cephalexin,Cephalexin,500mg,capsule,Antibiotic,Generic,"Take 1 capsule twice daily for bacterial infection","Diarrhea, stomach cramps, yeast infection","Allergy to cephalosporins, severe kidney disease","Amoxicillin, Doxycycline, Metronidazole",Antibiotic,available,14.99,250.00,1000.00,12.50,0.85,0.70,0.80,B,true
Carvedilol,Carvedilol,12.5mg,tablet,Antihypertensive,Generic,"Take 1 tablet daily for blood pressure control","Dizziness, fatigue, cold hands/feet","Severe heart failure, pregnancy, allergy","Furosemide, Hydrochlorothiazide, Metoprolol",Antihypertensive,available,11.99,6.25,50.00,0.31,0.75,0.70,0.80,C,true
Diltiazem,Diltiazem,60mg,tablet,Antihypertensive,Generic,"Take 1 tablet daily in the morning for hypertension","Swelling in ankles, headache, dizziness","Severe heart failure, pregnancy, allergy","Furosemide, Hydrochlorothiazide, Metoprolol",Antihypertensive,available,10.99,30.00,120.00,1.50,0.80,0.75,0.80,C,true
Empagliflozin,Empagliflozin,10mg,tablet,Antidiabetic,Generic,"Take 1 tablet daily for blood sugar control","Nausea, headache, dizziness, fatigue","Severe kidney disease, pregnancy, allergy","Metformin, Glipizide, Insulin",Antidiabetic,available,24.99,5.00,25.00,0.25,0.80,0.60,0.70,C,false
Linagliptin,Linagliptin,5mg,tablet,Antidiabetic,Generic,"Take 1 tablet daily for diabetes management","Nausea, headache, dizziness, fatigue","Severe kidney disease, pregnancy, allergy","Metformin, Glipizide, Insulin",Antidiabetic,available,21.99,2.50,10.00,0.13,0.85,0.65,0.75,B,false
Celecoxib,Celecoxib,200mg,capsule,Analgesic,Generic,"Take 1 capsule every 8 hours for pain relief","Stomach irritation, headache, dizziness","Stomach ulcers, kidney disease, allergy","Warfarin, Aspirin, Ibuprofen",Analgesic,available,16.99,100.00,400.00,5.00,0.80,0.80,0.85,C,true
Meloxicam,Meloxicam,15mg,tablet,Analgesic,Generic,"Take 1 tablet daily for pain management","Stomach upset, heartburn, dizziness","Stomach ulcers, bleeding disorders, allergy to medication","Warfarin, Aspirin, Ibuprofen",Analgesic,available,13.99,7.50,30.00,0.38,0.85,0.75,0.80,C,true
Bupropion,Bupropion,150mg,tablet,Antidepressant,Generic,"Take 1 tablet daily for mood stabilization","Nausea, headache, increased sweating","Pregnancy, allergy, use of MAO inhibitors","Warfarin, Aspirin, Ibuprofen",Antidepressant,available,13.99,75.00,300.00,3.75,0.80,0.80,0.85,C,false
Mirtazapine,Mirtazapine,15mg,tablet,Antidepressant,Generic,"Take 1 tablet daily as prescribed","Drowsiness, dry mouth, weight gain","Pregnancy, allergy, use of MAO inhibitors","Warfarin, Aspirin, Ibuprofen",Antidepressant,available,12.99,7.50,30.00,0.38,0.80,0.85,0.90,C,false
Buspirone,Buspirone,15mg,tablet,Antianxiety,Generic,"Take 1 tablet 3 times daily for anxiety","Drowsiness, dry mouth, blurred vision","Pregnancy, severe breathing problems, allergy","Alcohol, Diazepam, Lorazepam",Antianxiety,available,9.99,7.50,60.00,0.38,0.85,0.80,0.85,B,true
Hydroxyzine,Hydroxyzine,25mg,tablet,Antianxiety,Generic,"Take 1 tablet as needed for anxiety","Drowsiness, confusion, muscle weakness","Severe respiratory depression, pregnancy, allergy","Alcohol, Diazepam, Lorazepam",Antianxiety,available,6.99,12.50,100.00,0.63,0.80,0.75,0.80,B,true
Enoxaparin,Enoxaparin,40mg,injection,Anticoagulant,Generic,"Inject subcutaneously daily for blood thinning","Bleeding, bruising, stomach upset","Active bleeding, severe liver disease, pregnancy","Warfarin, Aspirin, Ibuprofen",Anticoagulant,available,35.99,20.00,100.00,1.00,0.80,0.65,0.70,B,false
Dalteparin,Dalteparin,5000 units,injection,Anticoagulant,Generic,"Inject subcutaneously daily for blood thinning","Bleeding risk, stomach upset, headache","Severe kidney disease, active bleeding, pregnancy","Warfarin, Aspirin, Amoxicillin",Anticoagulant,available,32.99,2500.00,10000.00,125.00,0.80,0.60,0.75,B,false
Fluvastatin,Fluvastatin,40mg,capsule,Statin,Generic,"Take 1 capsule daily for cholesterol management","Muscle pain, headache, stomach upset","Active liver disease, pregnancy, muscle problems","Grapefruit, Amlodipine, Digoxin",Statin,available,13.99,20.00,80.00,1.00,0.85,0.80,0.70,X,false
Lovastatin,Lovastatin,20mg,tablet,Statin,Generic,"Take 1 tablet daily in the evening for cholesterol control","Muscle weakness, liver enzyme changes","Severe liver disease, pregnancy, allergy","Amiodarone, Verapamil, Diltiazem",Statin,available,11.99,10.00,40.00,0.50,0.80,0.75,0.80,X,false
Rabeprazole,Rabeprazole,20mg,tablet,Proton Pump Inhibitor,Generic,"Take 1 tablet daily before breakfast for acid reflux","Diarrhea, headache, stomach upset","Pregnancy, allergy to proton pump inhibitors","Iron, Calcium, Digoxin",Proton Pump Inhibitor,available,15.99,10.00,40.00,0.50,0.80,0.80,0.70,B,true
Dexlansoprazole,Dexlansoprazole,30mg,capsule,Proton Pump Inhibitor,Generic,"Take 1 capsule daily before breakfast for heartburn","Headache, nausea, abdominal pain","Pregnancy, severe liver disease, allergy","Iron, Calcium, Ketoconazole",Proton Pump Inhibitor,available,17.99,15.00,60.00,0.75,0.85,0.75,0.65,B,true
Chlorpheniramine,Chlorpheniramine,4mg,tablet,Antihistamine,Generic,"Take 1 tablet every 4-6 hours as needed for allergies","Drowsiness, dry mouth, blurred vision","Severe breathing problems, pregnancy, allergy","Alcohol, Diazepam, Lorazepam",Antihistamine,available,4.99,2.00,12.00,0.10,0.75,0.80,0.85,B,true
Brompheniramine,Brompheniramine,4mg,tablet,Antihistamine,Generic,"Take 1 tablet every 4-6 hours as needed for allergies","Drowsiness, dry mouth, blurred vision","Severe breathing problems, pregnancy, allergy","Alcohol, Diazepam, Lorazepam",Antihistamine,available,4.99,2.00,12.00,0.10,0.75,0.80,0.85,B,true
Tiotropium,Tiotropium,2.5mcg,inhaler,Bronchodilator,Generic,"Inhale 2 puffs daily for breathing","Dry mouth, headache, cough","Allergy to medication, uncontrolled heart rhythm problems","Albuterol, Salmeterol, Formoterol",Bronchodilator,available,34.99,1.25,5.00,0.06,0.80,0.85,0.90,C,false
Umeclidinium,Umeclidinium,62.5mcg,inhaler,Bronchodilator,Generic,"Inhale 2 puffs daily for breathing","Nervousness, rapid heart rate, tremor","Allergy to medication, uncontrolled heart rhythm problems","Albuterol, Salmeterol, Metoprolol",Bronchodilator,available,36.99,31.25,125.00,1.56,0.80,0.80,0.85,C,false
Betamethasone,Betamethasone,0.6mg,tablet,Corticosteroid,Generic,"Take as prescribed for inflammatory conditions","Weight gain, fluid retention, mood changes","Active infection, pregnancy, allergy","Warfarin, Aspirin, Metformin",Corticosteroid,available,9.99,0.30,1.20,0.02,0.80,0.80,0.75,C,false
Triamcinolone,Triamcinolone,4mg,tablet,Corticosteroid,Generic,"Take 1 tablet daily for inflammation","Insomnia, increased appetite, mood swings","Severe infection, pregnancy, allergy","Warfarin, Aspirin, Ibuprofen",Corticosteroid,available,8.99,2.00,16.00,0.20,0.85,0.85,0.80,C,false
Indapamide,Indapamide,2.5mg,tablet,Diuretic,Generic,"Take 1 tablet daily in the morning for water retention","Frequent urination, dizziness, muscle cramps","Severe kidney disease, electrolyte imbalance","Furosemide, Hydrochlorothiazide, Lisinopril",Diuretic,available,8.99,1.25,5.00,0.06,0.85,0.70,0.90,B,true
Bumetanide,Bumetanide,1mg,tablet,Diuretic,Generic,"Take 1 tablet daily for fluid retention","Frequent urination, electrolyte changes","Severe kidney disease, very low sodium levels","Furosemide, Hydrochlorothiazide, Lisinopril",Diuretic,available,9.99,0.50,2.00,0.03,0.80,0.65,0.85,C,false
Magnesium Oxide,Magnesium Oxide,400mg,tablet,Vitamin,Generic,"Take 1 tablet daily for vitamin supplementation","Nausea, stomach upset, allergic reactions","High magnesium levels, severe kidney disease","Tetracycline, Ciprofloxacin, Digoxin",Vitamin,available,4.99,200.00,400.00,5.00,0.80,0.75,0.90,A,true
Potassium Chloride,Potassium Chloride,20mEq,tablet,Vitamin,Generic,"Take 1 tablet daily for nutritional support","Nausea, stomach upset, irregular heartbeat","High potassium levels, severe kidney disease","Lisinopril, Losartan, Spironolactone",Vitamin,available,8.99,10.00,20.00,0.50,0.80,0.70,0.85,A,true
Acyclovir,Acyclovir,400mg,tablet,Antiviral,Generic,"Take 1 tablet 3 times daily for viral infection","Nausea, headache, dizziness, fatigue","Allergy to medication, severe kidney disease","Valacyclovir, Famciclovir, Probenecid",Antiviral,available,19.99,200.00,800.00,10.00,0.80,0.70,0.80,B,true
